,Title,Box Office (in 000s)), release_date,chronology,duration
0,Iron Man,"$585,171.55",2008-05-02,3.0,126
1,The Incredible Hulk,"$265,573.86",2008-06-13,5.0,112
2,Iron Man 2,"$621,156.39",2010-05-07,4.0,124
3,Thor,"$449,326.62",2011-05-06,6.0,115
4,Captain America: The First Avenger,"$370,569.78",2011-07-22,1.0,124
5,The Avengers,"$1,517,935.90",2012-05-04,7.0,143
6,Iron Man 3,"$1,215,392.27",2013-05-03,8.0,130
7,Thor: The Dark World,"$644,602.52",2013-11-08,9.0,112
8,Captain America: The Winter Soldier,"$714,401.89",2014-04-04,10.0,136
9,Guardians of the Galaxy,"$770,867.52",2014-08-01,11.0,121
10,Avengers: Age of Ultron,"$1,403,013.96",2015-05-01,13.0,141
11,Ant-Man,"$518,858.45",2015-07-17,14.0,117
12,Captain America: Civil War,"$1,140,069.41",2016-05-06,15.0,147
13,Doctor Strange,"$676,404.57",2016-11-04,18.0,115
14,Guardians of the Galaxy Vol. 2,"$862,316.23",2017-05-05,12.0,136
15,Spider-Man: Homecoming,"$880,166.35",2017-07-07,17.0,133
16,Thor: Ragnarok,"$846,980.02",2017-11-03,19.0,130
17,Black Panther,"$1,348,258.22",2018-02-16,16.0,134
18,Avengers: Infinity War,"$2,048,134.20",2018-04-27,20.0,149
19,Ant-Man and The Wasp,"$623,144.66",2018-07-06,21.0,125
20,Captain Marvel,"$1,126,129.84",2019-03-08,2.0,125
21,Avengers: Endgame,"$2,795,465.69",2019-04-26,22.0,182
22,Spider-Man: Far From Home,"$1,123,901.18",2019-07-02,23.0,129
